dzid,prompt,A,B,C,D,E,answer
183,What did Arthur Eddington discover about two of Einstein's types of gravitational waves?,"Arthur Eddington showed that two of Einstein's types of waves were artifacts of the coordinate system he used, and could only be made to propagate at the speed of gravity by choosing appropriate coordinates.","Arthur Eddington showed that two of Einstein's types of waves were artifacts of the coordinate system he used, and could only be made to propagate at the speed of sound by choosing appropriate coordinates.","Arthur Eddington showed that two of Einstein's types of waves were artifacts of the coordinate system he used, and could be made to propagate at any speed by choosing appropriate coordinates.","Arthur Eddington showed that two of Einstein's types of waves were artifacts of the coordinate system he used, and could not be made to propagate at any speed by choosing appropriate coordinates.","Arthur Eddington showed that two of Einstein's types of waves were artifacts of the coordinate system he used, and could only be made to propagate at the speed of light by choosing appropriate coordinates.",C
184,What is the primary role of Robin Juhkental in the band Malcolm Lincoln?,Robin Juhkental is the bassist of Malcolm Lincoln and is responsible for laying down the foundation of their music.,Robin Juhkental is the keyboardist of Malcolm Lincoln and adds atmospheric sounds to their music.,Robin Juhkental is the drummer of Malcolm Lincoln and keeps the beat for the band's songs.,Robin Juhkental is the lead singer of Malcolm Lincoln and provides vocals for the band's songs.,Robin Juhkental is the lead guitarist of Malcolm Lincoln and is responsible for creating unique guitar melodies and solos.,D
185,Which of the following statements is true regarding the theories of relativity?,The theory of relativity only encompasses one theory by Albert Einstein.,Special relativity explains the law of gravitation and its relation to other forces of nature.,The theory of relativity does not encompass any theories by Albert Einstein.,"Special relativity applies to the cosmological and astrophysical domain, including the motion of planets, stars, and galaxies.",General relativity only applies to the motion of elementary particles and their interactions.,D
186,"In which country was the 1920 collection of comic short stories, ""The Courts of Idleness,"" written?",United States,Germany,Australia,France,England,E
187,"What is one of the areas that Shimon Dovid Cowen is known for publicly opposing, based on his research on the Noahide Laws?","Environmental conservation, opposing deforestation and promoting sustainable practices.","Homosexuality, looser abortion laws and voluntary assisted dying legislation.","Freedom of speech, advocating for increased limitations on expression.","Gun control, advocating for stricter regulations on firearms.","Animal rights, opposing the use of animals for scientific research and entertainment purposes.",B
188,When did the Dirt Road Diaries Tour begin and end?,"February 17, 2014 - November 26, 2014","January 17, 2014 - October 26, 2014","February 17, 2013 - November 26, 2013","March 17, 2013 - December 26, 2013","January 17, 2013 - October 26, 2013",E
189,What is the purpose of the Education and Skills Act 2008 in the United Kingdom?,The Education and Skills Act 2008 allocated additional funding towards university scholarships for students in the United Kingdom.,The Education and Skills Act 2008 increased the minimum age at which a person can leave education or training in the United Kingdom.,The Education and Skills Act 2008 aimed to improve the quality of vocational training programs in the United Kingdom.,The Education and Skills Act 2008 introduced new regulations for teacher qualifications and certifications in the United Kingdom.,The Education and Skills Act 2008 established a standardized curriculum for all schools in the United Kingdom.,B
190,Whose name was Clay County in Kansas named after?,"Henry Clay, a famous scientist","Henry Clay, a renowned painter","Henry Clay, a famous explorer","Henry Clay, an influential U.S. Senator from Kentucky","Henry Clay, a former president of the United States",D
191,"Which of the following accurately describes the relationship between the film ""Masterminds"" and the Loomis Fargo robbery in North Carolina?","""Masterminds"" is a sci-fi film that depicts a fictional heist set in a futuristic version of North Carolina.","""Masterminds"" is a biographical film that accurately depicts the events of the Loomis Fargo robbery.","""Masterminds"" is a reenactment of the Loomis Fargo robbery, using the actual individuals involved in the crime.","""Masterminds"" is a documentary film that provides an in-depth analysis of the Loomis Fargo robbery.","""Masterminds"" is a fictional film that is loosely inspired by the Loomis Fargo robbery.",E
192,What is the enrollment size of the Kalaidos University of Applied Sciences Switzerland based on the provided Wikipedia excerpt?,"6,000 students","2,500 students","8,000 students","1,000 students","4,400 students",E
193,"What is the meaning of the Latin-derived specific epithet ""vaginatus"" in the plant Schoenus vaginatus?","""Tall""","""Hairy""","""Sheath""","""Grass-like""","""Round""",C
194,"What was Wilhelm Schepmann's position in the Nazi paramilitary branch, the SA?","Wilhelm Schepmann was an officer in the Nazi paramilitary branch, the SA, responsible for recruitment and training.","Wilhelm Schepmann was a member of the SS, a separate paramilitary organization from the SA.","Wilhelm Schepmann was an SA general in Nazi Germany and the last Stabschef of the original Nazi paramilitary branch, the SA.",Wilhelm Schepmann was a civilian bureaucrat who had no direct involvement with the Nazi paramilitary branches.,"Wilhelm Schepmann was a prominent leader in the NSDAP, but he was not affiliated with the SA.",C
195,How did the 2017-18 Charlotte 49ers men's basketball team perform during the NCAA Division I men's basketball season?,The team qualified for the C-USA tournament.,The team did not play any games during the season.,"The team had a losing season, finishing with more losses than wins.","The team had a winning season, finishing with more wins than losses.","The team had an even season, finishing with an equal number of wins and losses.",C
196,"According to the provided Wikipedia excerpt, what is the reason behind the popularity of MYmovies.it among Italian internet users?",MYmovies.it features a comprehensive database on Italian films and television series from 1895 to present.,MYmovies.it provides international news related to film.,MYmovies.it is particularly popular among Italian women aged 25 to 45 according to demographic surveys.,"MYmovies.it is known for its streaming platform, Mymovieslive!, which was launched in 2010.",MYmovies.it is the 56th most popular website among internet users worldwide.,E
197,What is the certification status of The Smashing Pumpkins' music video Vieuphoria?,Vieuphoria was certified diamond by the RIAA in late 1996.,Vieuphoria was certified gold by the RIAA in late 1996.,Vieuphoria was certified silver by the RIAA in late 1996.,Vieuphoria was not certified by the RIAA.,Vieuphoria was certified platinum by the RIAA in late 1996.,B
198,What is the administrative center of Moshenskoy District?,Pestovsky District,Udomelsky District of Tver Oblast,Moshenskoye,Khvoyninsky District,Lesnoy District of Tver Oblast,C
199,What was the cause of the collapse of the Landesbank der Rheinprovinz?,The collapse of the Landesbank was due to a global economic downturn affecting the banking industry.,The collapse of the Landesbank was caused by mismanagement and irresponsible lending practices leading to financial insolvency.,"The collapse of the Landesbank was a result of the European banking crisis of 1931, triggered by the collapse of Austria's Creditanstalt and followed by Danatbank.",The collapse of the Landesbank was a result of fraudulent activities committed by high-ranking bank officials.,The collapse of the Landesbank was caused by a significant decrease in government support.,C
200,What can be concluded about Lincoln County based on the given Wikipedia excerpt?,"It is a county in the state of New South Wales, Australia.",It is located in a different country than New South Wales.,It is a region known for its historical landmarks.,It is one of the 141 Cadastral divisions of Australia.,"It is a division within Dubbo, New South Wales.",A
201,In which team does Dennis Sveum currently play for as an ice hockey player?,Norwegian national team,Trondheim Black Panthers,Stavanger Oilers,No team at the moment,Bergen Tigers,C
202,"Who directed the 1920 American silent comedy film ""The Mysterious Stranger"" featuring Oliver Hardy?",Jess Robbins,Fatty Arbuckle,Buster Keaton,Harold Lloyd,Charlie Chaplin,A
203,"Who is responsible for the executive functions of the Government of the City of San Jose, California in the United States?",The Governor of California,The Mayor of San Jose,The President of the United States,The Mayor of San Francisco,The City Council of San Jose,B
204,What is the purpose of University College Hospital (UCH) in relation to University College London (UCL)?,It is owned and operated by UCL.,It is the main campus of UCL.,It is closely associated with UCL and is located next to its main campus.,"It is a separate, independent hospital that has no association with UCL.",It serves as a research facility for UCL's medical students.,C
205,When was the EP Breaking the Silence by The Letter Black released?,October 2009,September 2010,"September 22, 2009",August 2009,September 2008,C
206,When was the Thomas J. Majors Farmstead listed on the National Register of Historic Places?,"June 15, 1978",1898,1878,1891,1895,A
207,What is the significance of Shin-Takatoku Station?,"Shin-Takatoku Station is a renowned tourist attraction, frequently visited for its picturesque surroundings.","Shin-Takatoku Station is a cultural hub in Tochigi, hosting events and festivals throughout the year.","Shin-Takatoku Station is the largest railway station in Tochigi prefecture, offering various transportation routes.","Shin-Takatoku Station is a railway station in Nikkō, operated by Tōbu Railway and assigned the number ""TN-53"".","Shin-Takatoku Station is a historical landmark in Nikkō, known for its architectural brilliance.",D
208,What was Marcello Truzzi's role in the founding of the Society for Scientific Exploration?,Marcello Truzzi was the director for the Center for Scientific Anomalies Research.,Marcello Truzzi served as the president of the Society for Scientific Exploration.,Marcello Truzzi was a professor of sociology at New College of Florida and later at Eastern Michigan University.,Marcello Truzzi had no involvement in the founding of the Society for Scientific Exploration.,Marcello Truzzi was a founding member of the Society for Scientific Exploration.,E
209,When did the second season of Storage Wars: New York premiere?,"July 23, 2013","July 31, 2013","July 9, 2013","July 15, 2013","July 1, 2013",C
210,What is the focus of the National Lottery Act 2003?,The National Lottery Act 2003 primarily focuses on the exportation and importation of goods and services in the United Kingdom.,The National Lottery Act 2003 is centered around regulating casinos and gambling establishments in the United Kingdom.,The National Lottery Act 2003 primarily addresses the taxation system for individuals and businesses in the United Kingdom.,The National Lottery Act 2003 is mainly concerned with the protection of consumers' rights in the United Kingdom.,The National Lottery Act 2003 primarily deals with the organization and regulation of the National Lottery in the United Kingdom.,E
211,Who is the general manager for the University of Alberta's men's hockey team?,Catherine Williams,Robert Thompson,Stanislaus Henry Marple,Michael Johnson,John Smith,C
212,What is Kostelany nad Moravou known for?,Kostelany nad Moravou is a popular tourist destination known for its beautiful hiking trails and picturesque landscapes.,"Kostelany nad Moravou is a historical site, home to ancient ruins and artifacts from the Roman Empire.",Kostelany nad Moravou is a hamlet known for its traditional folklore and local customs.,"Kostelany nad Moravou is the birthplace of a famous Czech composer, who is widely recognized for his contributions to classical music.","Kostelany nad Moravou is a renowned cultural center, hosting annual music festivals and art exhibitions.",C
213,"What is the genre of Ali Project's first mini album ""Classics"", released in 2001?",Pop,Classical,Jazz,Rock,Hip hop,A
214,What services did Dream Market provide on its online darknet platform?,Dream Market provided a legal advice service for its users.,Dream Market provided an escrow service for secure transactions.,Dream Market offered free shipping on all orders.,Dream Market specialized in selling stolen artwork.,Dream Market offered a wide selection of legal consumer goods.,B
215,Which materials were primarily used in the construction of the Great Wall of China?,Brick and tamped earth.,"Stone, wood, and tamped earth.",Stone and tamped earth.,Brick and wood.,Stone and wood.,A
216,What type of government does the Constitution of Uganda sanction?,The Constitution of Uganda sanctions a parliamentary democracy.,The Constitution of Uganda sanctions a presidential republic.,The Constitution of Uganda sanctions a constitutional monarchy.,The Constitution of Uganda does not specify a type of government.,The Constitution of Uganda sanctions a totalitarian regime.,B
217,Who won the 1983 FIBA EuroBasket basketball championship?,Italy,Yugoslavia,Spain,France,Germany,A
218,What are the main features and criticisms of the Huawei Ascend P7 according to the Wikipedia excerpt?,"The Huawei Ascend P7 is a high-end smartphone with a slim glass construction, good front camera quality, and slow processor.","The Huawei Ascend P7 is a low-end smartphone with a plastic construction, poor front camera quality, and fast processor.","The Huawei Ascend P7 is an entry-level smartphone with a glossy glass construction, excellent front camera quality, and average processor.","The Huawei Ascend P7 is a mid-range smartphone with a metal construction, average front camera quality, and mediocre processor.","The Huawei Ascend P7 is a budget smartphone with a rugged plastic construction, outstanding front camera quality, and powerful processor.",A
219,Which of the following statements accurately describes NGC 19 based on the provided Wikipedia excerpt?,"NGC 19, a spiral galaxy in the Andromeda constellation, was discovered by Lewis Swift on 20 September 1885. It is frequently misidentified as a replicated version of NGC 21.","Although NGC 19 is typically considered a duplicate of NGC 21, it is, in fact, a spiral galaxy that was discovered by Lewis Swift on 20 September 1885 in the Andromeda constellation.",NGC 19 is a spiral galaxy located in the Andromeda constellation and was discovered by Lewis Swift on 20 September 1885. It is commonly mistaken as a duplicate of NGC 21.,"NGC 19 is a spiral galaxy found in the Andromeda constellation. However, its discovery was credited to Lewis Swift on 20 September 1885, despite it being an inaccurate listing.","Lewis Swift discovered NGC 19, a duplicate of NGC 21, on 20 September 1885. It is noteworthy that NGC 19 is erroneously denoted as a spiral galaxy in the Andromeda constellation.",C
220,"What percentage of sports-related concussions among children are associated with loss of consciousness, based on the provided information?",The excerpt does not mention any statistics regarding loss of consciousness in sports-related concussions among children.,More than 75%,Around 50%,Approximately 25%,Less than 10%,E
221,What was the name of the political party in Seychelles before it changed its name to United Seychelles?,The People,People's Party,Seychelles People's Progressive Front,The People's Progressive Party,United Seychelles,C
222,"What does the nickname ""Keniano Mexicano"" refer to?","The nickname ""Keniano Mexicano"" refers to José David Galván Martínez's preference for competing in Kenyan races rather than Mexican races.","The nickname ""Keniano Mexicano"" refers to José David Galván Martínez's accomplishment of winning both the 5000 and 10,000-metre races in a single championship.","The nickname ""Keniano Mexicano"" refers to José David Galván Martínez's Mexican heritage and his success as a long-distance runner.","The nickname ""Keniano Mexicano"" refers to José David Galván Martínez's impressive record of breaking Kenyan long-distance running records.","The nickname ""Keniano Mexicano"" refers to José David Galván Martínez's training techniques borrowed from Kenyan runners.",C
223,"How is Thomas ""Tom"" S. Hutchinson involved in his community?",He has won multiple triathlon championships in District 37B.,"He is a prominent philanthropist in District 37B, known for his charitable contributions.",He is currently the mayor of a town in District 37B.,He is the owner of several businesses in District 37B.,He has been serving as a member of the Maryland House of Delegates for District 37B.,E
224,"What is the plot of the 1937 comedy film ""Oh, Doctor""?","Oh, Doctor is a film that explores the life of a brilliant scientist whose experiments accidentally turn him into a talking pig.","Oh, Doctor is a film that depicts the struggles and triumphs of a talented musician as he navigates the competitive music industry of the 1930s.","Oh, Doctor is a film about the life of a renowned doctor who embarks on a series of hilarious misadventures when he accidentally switches identities with a bumbling plumber.","Oh, Doctor is a film that revolves around the escapades of a group of friends on a cross-country road trip during the Great Depression.","Oh, Doctor is a film that follows the story of a rookie detective who teams up with a quirky forensic pathologist to solve a mysterious murder case.",C
225,What is The Lightbox?,"The Lightbox is a technology park located in Woking, Surrey, in the South East of England. It focuses on research and development in the field of photonics and light-based technologies.","The Lightbox is a shopping center located in Woking, Surrey, in the South East of England. It offers a wide range of retail outlets and shops.","The Lightbox is a public gallery and museum located in Woking, Surrey, in the South East of England. It hosts a range of exhibitions and also has a free museum of local history - 'Woking's Story'.","The Lightbox is a theater located in Woking, Surrey, in the South East of England. It regularly hosts a variety of live performances and plays.","The Lightbox is a sports complex located in Woking, Surrey, in the South East of England. It offers various sports facilities, including swimming pools and fitness centers.",C
226,What is the relationship between Pua Kele Kealoha and Warren Kealoha?,Pua Kele Kealoha and Warren Kealoha are married.,Pua Kele Kealoha and Warren Kealoha are business partners.,Pua Kele Kealoha and Warren Kealoha are cousins.,Pua Kele Kealoha and Warren Kealoha are not related.,Pua Kele Kealoha and Warren Kealoha are siblings.,D
227,In which country did Costa Rica compete in the 2014 Summer Youth Olympics?,None of the above.,Japan.,Canada.,China.,Colombia.,D
228,What is the film Neerja about?,"A science fiction adventure, following a group of explorers who embark on a journey to colonize a distant planet.","A true crime story adapted from a bestselling novel, centered around the investigation of a murder.","A period drama set in ancient India, portraying the struggles of a warrior princess fighting for her kingdom.","A romantic comedy set in a picturesque vineyard, exploring the lives of two individuals navigating a complex love triangle.",A biographical thriller based on the life of a courageous flight attendant who saved passengers during a hijacking.,E
229,Which of the following characteristics is true about Leptospermum spinescens based on the provided information?,Leptospermum spinescens has fruits that persist on the plant for an extended period of time.,Leptospermum spinescens produces purple flowers during its blooming season.,Leptospermum spinescens is a deciduous shrub that sheds its leaves annually.,Leptospermum spinescens is a climbing vine that attaches itself to other plants for support.,Leptospermum spinescens is an endangered species found only in Eastern Australia.,A
230,"When was the Parklinks Bridge in Metro Manila, Philippines, officially opened to the public?",2016,2014,2018,2010,2020,C
231,What is the nature of Achaemenid architecture and its influences?,"Achaemenid architecture was heavily influenced by Assyrian and Greek architecture, primarily visible in the design of worship places and gathering locations.","Achaemenid architecture was solely influenced by Elamite and Median architecture, shaping the construction of cities and mausoleums.","Achaemenid architecture was primarily influenced by Mesopotamian and Lydian architecture, leading to the creation of grand cities and temples.","Achaemenid architecture showcased a unique Persian identity, incorporating diverse architectural elements from Mesopotamian, Assyrian, Egyptian, Elamite, Lydian, Greek, and Median architecture.","Achaemenid architecture was predominantly influenced by Greek and Egyptian architecture, resulting in a fusion of their styles.",D
232,What is Tavi Gevinson most known for?,Tavi Gevinson is most known for her role in the HBO Max series Gossip Girl from 2021 to 2023.,"Tavi Gevinson is most known for her career as a magazine editor, specifically at Vogue.",Tavi Gevinson is most known for her acting career in Hollywood films.,Tavi Gevinson is most known for her contributions to feminist literature and activism.,"Tavi Gevinson is most known for her fashion blog, Style Rookie, which gained public attention at a young age.",E
233,What was the political position held by Charles Germman Burton?,Charles Germman Burton was a Supreme Court Justice.,Charles Germman Burton was a Mayor of St. Louis.,Charles Germman Burton was a U.S. Representative from Missouri.,Charles Germman Burton was a U.S. Senator from Missouri.,Charles Germman Burton was a Governor of Missouri.,C
234,"What establishment owned by Gordon Ramsay Holdings was located within The Connaught hotel in Mayfair, London?","Angela Hartnett at The Connaught, also known as MENU","Gordon Ramsay at Claridge's, within the Claridge's hotel",Restaurant Gordon Ramsay,A Michelin-starred restaurant within The Connaught,A new operation suggested by Ramsay,A
235,"What is the meaning of the song title ""Entends-tu le monde?"" by Tina Arena?",The title refers to the artist's personal journey of discovering the different sounds of the world.,"The title is a reference to the seven lives of a cat, symbolizing resilience and rebirth.",The title is a metaphor for the artist's appreciation of nature and its harmonious sounds.,The title represents the artist's plea for global unity and understanding.,"The title roughly translates into English as ""Do you hear the world?"".",E
236,Who was al-Faḍl ibn Shadhan?,"An Arab Muslim historian, known for his extensive writings on medieval Islamic civilization and society.","An Imāmī scholar, jurist, and theologian highly respected by the Imami Shi'a during his time.","A renowned Sufi mystic and poet, celebrated for his profound spiritual teachings and mystical poetry.","A military general and statesman, known for his strategic brilliance and contributions to the expansion of an ancient Islamic empire.","A Persian mathematician and astronomer, credited with significant contributions to the fields of algebra and celestial observations.",B
237,"What was the historical significance of the Elks Building in Anaconda, Montana?","The Elks Building in Anaconda, Montana was a government office that housed various local administration branches.","The Elks Building in Anaconda, Montana was a 3-story brick building that contributed to the Butte-Anaconda Historic District. It served as the headquarters of the Anaconda Elks until 1964, when it was transferred to the Knights of Columbus.","The Elks Building in Anaconda, Montana was a historic building built in 1914 with no particular significance.","The Elks Building in Anaconda, Montana was a residential building used by workers of the Anaconda Copper Mining Company.","The Elks Building in Anaconda, Montana was a 10-story steel-framed skyscraper commissioned by a prominent local businessman.",B
238,What is one of the television shows in which Friederike Kempter has appeared?,A Coffee in Berlin,Thiel and Boerne Tatort,Pandorum,Ladykracher,Hauptstadtrevier,D
239,Which American football player for the Georgia Bulldogs later became an executive with Coca-Cola?,Aristotle,Joseph Johnston Bennett Jr.,Hippocrates,Avicenna,Galen,B
240,Where is Héninel located?,Héninel is a commune in the Rhône-Alpes region of France.,Héninel is a commune in the Vienne department in the Nouvelle-Aquitaine region of France.,Héninel is a commune in the Seine-Maritime department in the Normandy region of France.,Héninel is a commune in the Pas-de-Calais department in the Hauts-de-France region of France.,Héninel is a commune in the Saône-et-Loire department in the Bourgogne-Franche-Comté region of France.,D
241,What was the union of Brittany and France primarily influenced by?,The desire of the Duchy of Brittany to maintain their autonomy against the increasing central authority of Louis XI of France.,"The wars, treaties, and papal decisions that led to the eventual marriage of Louis XI's son Charles VIII to the heiress of Brittany.",The involvement of the English monarchy during crucial times in the history of Brittany and France.,The varying fealty demonstrated by the Duchy of Brittany toward the French king throughout different time periods.,The different systems of inheritance between Brittany and France that prevented the crown and the duchy from being held by the same hereditary claimant until the reign of Henry II.,B
242,In what time period did Turi Pandolfini appear in films?,Between 1917 and 1920.,Between 1930 and 1940.,During the 1950s and 1960s.,Throughout the entire 20th century.,Between 1961 and 1965.,C
243,What is the significance of Frick's Locks Historic District?,Frick's Locks Historic District is a popular amusement park located in Northeast Pennsylvania.,Frick's Locks Historic District is a residential area primarily inhabited by private property owners. ,"Frick's Locks Historic District is a historical site along the Schuylkill Canal in East Coventry Township, Chester County, Pennsylvania.","Frick's Locks Historic District is an abandoned nuclear power plant in East Coventry Township, Chester County, Pennsylvania.","Frick's Locks Historic District is an active village located in East Coventry Township, Chester County, Pennsylvania.",C
244,Which horticulturalist developed the gardens at Myddelton House that are still fully maintained and open to the public today?,E.A. Bowles,John Tradescant,Gertrude Jekyll,Capability Brown,Vita Sackville-West,A
245,What is the purpose of the towers near Equinox Mountain in Vermont?,They provide a signal for the local radio station.,They house a research facility for studying mountain ecosystems.,They are used for testing weather conditions.,They are used for broadcast and other purposes.,They serve as lookout points for hikers.,D
246,What are the school colors of Pittsburg High School?,The school colors of Pittsburg High School are blue and gold.,The school colors of Pittsburg High School are orange and black.,The school colors of Pittsburg High School are green and white.,The school colors of Pittsburg High School are red and black.,The school colors of Pittsburg High School are purple and white.,E
247,"How does the population of Merichas in Kythnos, Greece, as per the 2011 Greek census, compare to the population of the island?",The population of Merichas is lower than the population of the entire island.,The population of Merichas is the same as the population of the entire island.,The population of Merichas is not provided in the excerpt.,The census did not disclose the population of Merichas.,The population of Merichas is higher than the population of the entire island.,C
248,What was the purpose of erecting the genus Rentapia in 2016?,The genus Rentapia was erected in 2016 to update the taxonomical classification of Bufonidae.,The genus Rentapia was erected in 2016 as a result of a research study on the reproductive behavior of toads.,The genus Rentapia was erected in 2016 to resolve the polyphyly of Pedostibes.,The genus Rentapia was erected in 2016 to study the geographic distribution of true toads in Southeast Asia.,The genus Rentapia was erected in 2016 as a measure to protect endangered toad species.,C
249,"In the novel ""Lotte Weeda"" by Maarten 't Hart, what is the main focus of the story?",The adventure of a group of friends who embark on a quest to find hidden treasure in a remote island.,A collection of fictional short stories inspired by the author's personal experiences growing up in South Holland.,"The history and architecture of the province of South Holland, Netherlands.",The exploration of deep sea creatures and their habitats in the Atlantic Ocean.,A mysterious love triangle between three characters set in a small village in South Holland.,E
250,"What is the significance of Neak Pean in Angkor, Cambodia?",It is an artificial island with a Hindu temple on a circular island.,It is the main temple of the Preah Khan baray.,It is a natural island located in Jayatataka Baray.,It is named after King Jayavarman VII.,It is a Buddhist temple built during the reign of King Jayavarman VII.,A
251,"What is the geographical location of Langoat, a commune in the Côtes-d'Armor department of Brittany, France?","Langoat is a commune located in the Côtes-d'Armor department of Brittany, situated in eastern France.","Langoat is a commune located in the Côtes-d'Armor department of Brittany, situated in northwestern France.","Langoat is a commune located in the Côtes-d'Armor department of Brittany, situated in southern France.","Langoat is a commune located in the Côtes-d'Armor department of Brittany, situated in southwestern France.","Langoat is a commune located in the Côtes-d'Armor department of Brittany, situated in northern France.",B
252,In which city is Bangor located?,Brisbane,Perth,Melbourne,Sydney,Canberra,D
253,Which of the following best describes the habitat of the Austroargiolestes isabellae damselfly according to the provided Wikipedia excerpt?,Austroargiolestes isabellae is commonly found in coastal areas and sandy dunes.,Austroargiolestes isabellae is endemic to the Sydney district and is found in streams and boggy areas.,"Austroargiolestes isabellae can be found in various habitats across Australia, including rainforests and mountains.",Austroargiolestes isabellae typically inhabits forested areas near rivers and lakes.,Austroargiolestes isabellae prefers arid climates and desert regions.,B
254,"What was the profession of Paul Daimler, the eldest child of Gottlieb Daimler?",A physicist specializing in thermodynamics.,An electrical engineer who revolutionized the power industry.,A mechanical engineer who designed automobiles.,An architect known for designing innovative buildings.,A chemist who discovered a breakthrough in polymer synthesis.,C
255,What political party is Goran Trivan a member of?,Serbian Renewal Movement.,Socialist Party of Serbia.,Serbian Progressive Party.,Serbian Radical Party.,Democratic Party of Serbia.,B
256,When was the 7.62 KK 62 officially adopted as the standard infantry support weapon of the Finnish Defence Forces?,1960,1950,1966,1958,1962,E
257,"According to the 2001 census, how many Muslims are estimated to live in Botswana?","Around 2,000","Around 10,000","Around 5,000","Around 1,000",Around 500,C
258,What is the chemical formula of torbernite?,Cu[(UO2)(PO4)]2(H2O)8,Cu[(UO2)(PO4)]2(H2O)10,Cu[(UO2)(PO4)]2(H2O)6,Cu[(UO2)(PO4)]2(H2O)14,Cu[(UO2)(PO4)]2(H2O)12,A
259,"What were the chart rankings of The Guess Who's popular song ""Laughing""?","""Laughing"" peaked at #1 on the Canadian Singles Chart and #10 on the United States' Billboard Hot 100.","""Laughing"" peaked at #10 on the Canadian Singles Chart and #20 on the United States' Billboard Hot 100.","""Laughing"" peaked at #20 on the Canadian Singles Chart and #10 on the United States' Billboard Hot 100.","""Laughing"" peaked at #10 on the Canadian Singles Chart and #1 on the United States' Billboard Hot 100.","""Laughing"" peaked at #1 on the Canadian Singles Chart and #20 on the United States' Billboard Hot 100.",A
260,What is the significance of Courvoisier in the cognac industry?,"Courvoisier is recognized for its historical significance in the development of cognac, having gained popularity during the French Revolution.","Courvoisier is renowned for its unique distillation process, which results in a distinctively smooth and refined flavor profile.","Courvoisier is the youngest and smallest of the ""big four"" cognac houses, with production located in Jarnac, France.","Courvoisier is often referred to as the pioneer of organic cognac production, placing a strong emphasis on sustainable farming practices.","Courvoisier is the oldest and largest cognac producer in France, known for its extensive range of cognac variations.",C
261,What does the TECR gene encode for in humans?,The TECR gene encodes for an enzyme involved in protein synthesis.,"The TECR gene encodes for trans-2,3-enoyl-CoA reductase, an enzyme involved in fatty acid metabolism.","The TECR gene encodes for trans-2,3-enoyl-CoA reductase, an enzyme involved in cellular respiration.","The TECR gene encodes for trans-2,3-enoyl-CoA reductase, an enzyme involved in glucose metabolism.",The TECR gene encodes for an enzyme involved in carbohydrate synthesis.,B
262,What achievements did Sociedad Deportiva Itxako (Asfi Itxako) have in women's handball?,Sociedad Deportiva Itxako were Spanish league champions and won the EHF Women's Handball World Cup.,Sociedad Deportiva Itxako were Spanish league runners-up and won the EHF Women's Handball World Cup.,Sociedad Deportiva Itxako won the EHF Women's Champions League four times and were Spanish league runners-up.,Sociedad Deportiva Itxako were Spanish league runners-up and won the EHF Women's Handball Cup Winners' Cup.,Sociedad Deportiva Itxako won the EHF Women's Champions League four times and were Spanish league champions.,C
263,Which of the following best describes Dorothea Grimm's family composition?,"Dorothea Grimm was the mother to the ""Brothers Grimm"" Jacob and Wilhelm, and five other children, including Ludwig Emil Grimm and Charlotte Amalie Grimm.","Dorothea Grimm was the mother to the ""Brothers Grimm"" Jacob and Wilhelm, and nine other children, including Ludwig Emil Grimm and Charlotte Amalie Grimm.","Dorothea Grimm was the mother to the ""Brothers Grimm"" Jacob and Wilhelm, and seven other children, including Ludwig Emil Grimm and Charlotte Amalie Grimm.","Dorothea Grimm was the mother to the ""Brothers Grimm"" Jacob and Wilhelm, and eight other children, including Ludwig Emil Grimm and Charlotte Amalie Grimm.","Dorothea Grimm was the mother to the ""Brothers Grimm"" Jacob and Wilhelm, and six other children, including Ludwig Emil Grimm and Charlotte Amalie Grimm.",C
264,How many appearances has the Central African Republic made at the Summer Paralympics since 2004?,Their fifth appearance,Their first appearance,Their second appearance,Their fourth appearance,Their third appearance,E
265,"What recognition did Alison Krauss & Union Station's album ""New Favorite"" receive at the 44th Grammy Awards?","""New Favorite"" won both the Grammy Award for Best Bluegrass Album and the Grammy Award for Best Country Performance by a Duo or Group with Vocal.","""New Favorite"" won the Grammy Award for Best Country Performance by a Duo or Group with Vocal.","""New Favorite"" did not receive any recognition at the 44th Grammy Awards.","""New Favorite"" won the Grammy Award for Best Bluegrass Album.","""New Favorite"" won the Grammy Award for Best Country Song.",A
266,"What type of river is the Kuzuryū River, based on the provided Wikipedia excerpt?","A river located in Ikeda, Fukui Prefecture, Japan.",A river in Japan known for its famous Ryūsō Falls.,"A river with multiple branches, one of which passes through Ikeda, Fukui Prefecture, Japan.","A waterfall located in Ikeda, Fukui Prefecture, Japan.",A branch of the Kuzuryū River located in the town of Ikeda.,C
267,"When was Mika Nakashima's album ""Real"" first released in Japan?","March 1, 2013","January 30, 2013","February 15, 2013","January 1, 2013","March 15, 2013",B
268,"What was the ultimate outcome of the 55th Battalion, CEF during World War I?",It became known as one of the most decorated battalions in Canadian military history.,"It was absorbed by the 40th Battalion, CEF and ceased to exist as a separate unit.",It successfully completed its mission and returned to Canada.,It was disbanded due to a shortage of personnel in May 1917.,It remained in Britain as a reserve unit until the end of the war.,D
269,What can be said about Denis O'Dea based on the provided Wikipedia excerpt?,Denis O'Dea was an Irish stage and film actor.,Denis O'Dea was a German stage and film actor.,Denis O'Dea was an Italian stage and film actor.,Denis O'Dea was a Scottish stage and film actor.,Denis O'Dea was an American stage and film actor.,A
